LETTER	COUNT	COLOR	DESCRIPTION
J	0	#FCCCFC	Translation, ribosomal structure and biogenesis
A	0	#FCDCFC	RNA processing and modification
K	0	#FCDCEC	Transcription
L	0	#FCDCDC	Replication, recombination and repair
B	0	#FCDCCC	Chromatin structure and dynamics
D	0	#FCFCDC	Cell cycle control, cell division, chromosome partitioning
Y	0	#FCFCCC	Nuclear structure
V	0	#FCFCBC	Defense mechanisms
T	0	#FCFCAC	Signal transduction mechanisms
M	0	#ECFCAC	Cell wall/membrane/envelope biogenesis
N	0	#DCFCAC	Cell motility
Z	0	#CCFCAC	Cytoskeleton
W	0	#BCFCAC	Extracellular structures
U	0	#ACFCAC	Intracellular trafficking, secretion, and vesicular transport
O	0	#9CFCAC	Posttranslational modification, protein turnover, chaperones
X	0	#9CFC9C	Mobilome: prophages, transposons
C	0	#BCFCFC	Energy production and conversion
G	0	#CCFCFC	Carbohydrate transport and metabolism
E	0	#DCFCFC	Amino acid transport and metabolism
F	0	#DCECFC	Nucleotide transport and metabolism
H	0	#DCDCFC	Coenzyme transport and metabolism
I	0	#DCCCFC	Lipid transport and metabolism
P	0	#CCCCFC	Inorganic ion transport and metabolism
Q	0	#BCCCFC	Secondary metabolites biosynthesis, transport and catabolism
R	0	#E0E0E0	General function prediction only
S	0	#CCCCCC	Function unknown
